ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
AQB,1.5138888888888813,13.72023809523808,-88.96601590744761,59,"AquaBounty Technologies, Inc.",1.68,0.1099999,0.07006363,1649032,118257854,1813932,1.57
METX,0.9026676065162942,6.74545610425239,-86.61813830576638,60,Meten Holding Group Ltd.,0.172,0.01440001,0.09137059,27689873,52943236,17334090,0.1576
PETV,2.0000000000000018,14.58571428571429,-86.28795298726737,61,"PetVivo Holdings, Inc.",1.65,-0.05000007,-0.029411805000000003,17231,16520135,71698,1.7
OCUP,2.5000000000000133,14.999999999999991,-83.33333333333324,62,"Ocuphire Pharma, Inc.",3.38,0.05000019,0.015015072,110555,58994640,197233,3.33
RDFN,0.40925925925925366,2.356837606837603,-82.63523723179229,63,Redfin Corporation,18.59,1.5900002,0.093529415,2728299,1977913761,2336878,17
R,4.4366666666666665,24.797222222222203,-82.10821104514393,64,"Ryder System, Inc.",82.18,3.59,0.0456802,480206,4455019008,290412,78.59
VXRT,0.714285714285734,3.905303030303031,-81.7098517389492,65,"Vaxart, Inc.",4.73,0.26999998,0.06053811,3307407,593196003,1887702,4.46
CUBV,5.000000000000004,24.285714285714267,-79.41176470588232,66,Cuba Beverage Company,0.0012,0,0,0,3495171,1300962,0.0012
ABUS,2.4402222222222214,11.349494949494954,-78.499288002848,67,Arbutus Biopharma Corporation,2.98,0.12000012,0.041958084,1921774,441465956,1418002,2.86
SKLZ,4.2118464052287585,19.458039791258976,-78.35421013415328,68,Skillz Inc.,2.88,-0.02,-0.0069,21654649,1072390211,12357607,2.28
CGEN,19.999999999999996,87.5,-77.14285714285715,69,Compugen Ltd.,3.06,0.13999987,0.047945156,986646,256788863,641727,2.92
GIII,9.999999999999986,43.29999999999998,-76.90531177829102,70,"G-III Apparel Group, Ltd.",26.31,1.6499996,0.06690996,512633,1277837184,397533,24.66
HOTH,1.1249999999999982,4.832499999999995,-76.72012415933783,71,"Hoth Therapeutics, Inc.",0.591,0.0474,0.08719645999999999,1495463,14384507,304888,0.5436
INMD,6.992222222222222,29.68333333333333,-76.44394534905483,72,InMode Ltd.,37.27,2.5200005,0.072518,2075330,3253279744,2649778,34.75
BUD,6.598333333333328,27.0875,-75.64067066605139,73,Anheuser-Busch InBev SA/NV,59.67,0,0,1842295,103653978206,2096531,57.39
EPIX,0.24691358024691024,0,-75.30864197530897,74,ESSA Pharma Inc.,6.47,0.15999985,0.025356553,192632,207456739,269998,6.31
SPI,3.5690789473684204,13.455595238095231,-73.47513146602604,75,"SPI Energy Co., Ltd.",3.29,0.19000006,0.06129034,347031,78509481,463845,3.1
FR,6.562500000000004,24.136904761904752,-72.81134401972871,76,"First Industrial Realty Trust, Inc.",58.92,0,0,765946,7764540998,808804,58.34
BATRA,5.000000000000004,18.333333333333336,-72.7272727272727,77,The Liberty Braves Group,27.34,0.6100006,0.022820823,73728,30203604549,55185,26.73
FTCH,5.155709876543213,18.440123456790136,-72.04080607906806,78,Farfetch Limited,13.66,2.5599995,0.23063057,22595856,4616031431,15840176,11.1
LAC,1.598559322033899,5.620351473922902,-71.55766272890877,79,Lithium Americas Corp.,26.87,1.63,0.0645801,3969243,3601858878,2651761,25.24
SLB,7.327114427860693,24.037863149847084,-69.51844520378134,80,Schlumberger Limited,37.88,0,0,27492890,53525171690,17239005,39.26
BLI,9.336231884057966,30.499999999999993,-69.38940365882632,81,"Berkeley Lights, Inc.",6.48,1.0999999,0.20446095,2360287,439056217,1492459,5.38
CLNE,9.999999999999986,31.581250000000004,-68.33564219275684,82,Clean Energy Fuels Corp.,7.33,0.15999985,0.02231518,3526718,1628726645,3652567,7.17
AUY,5.065614035087718,15.818027210884345,-67.97569022006688,83,Yamana Gold Inc.,5.35,0,0,18689665,5135145156,19525566,5.39
ECEZ,5.000000000000004,15.333333333333332,-67.39130434782605,84,Ecosciences Inc,0.0001,0,0,0,2393674,52894618,0.0001
SLF,10.000000000000009,30.624999999999993,-67.34693877551017,85,Sun Life Financial Inc.,54.85,1.39,0.0260007,1000099,32145115136,702249,53.46
SI,5.2290043290043275,15.730882352941178,-66.75962471980048,86,Silvergate Capital Corporation,129.56,9.42,0.07840849999999999,756307,4403990528,501241,120.14
MGA,6.693333333333351,19.856428571428552,-66.2913534059977,87,Magna International Inc.,60.96,2.63,0.0450882,2227432,18083356672,2260806,58.33
BBBY,2.868915375112313,8.098150694444438,-64.5732033971599,88,Bed Bath & Beyond Inc.,21.32,0.94000053,0.04612368,3598228,2054883418,3253970,20.38
ERIC,2.4146825396825333,6.803124999999999,-64.50627410664167,89,Telefonaktiebolaget LM Ericsson (publ),8.89,0.2300005,0.026558948,7226424,27344322193,6468586,8.66
CHGG,7.428125000000008,20.80291005291006,-64.29285623450116,90,"Chegg, Inc.",31.82,1.0100002,0.032781572,2406421,4290879206,2122485,30.81
CELH,5.005833333333332,13.932352941176473,-64.07043839279434,91,"Celsius Holdings, Inc.",49.82,4.779999,0.10612785000000001,1467096,3739832832,1165949,45.04
MARPS,5.833333333333335,15.951620370370367,-63.4310922784461,92,Marine Petroleum Trust,11.5,0.78999996,0.073762836,657701,23386516,800813,10.71
YANG,6.290349671579176,17.021942291128344,-63.045640949813105,93,Direxion Daily FTSE China Bear 3X Shares,16.3,0.1,0.00617,17752204,34462859,10733641,43.91
AAAU,5.088888888888898,13.39999999999999,-62.02321724709774,94,Goldman Sachs Physical Gold ETF,19.17,0.12999916,0.006827687,1089413,724437000,729506,19.04
BFRI,8.84128205128205,22.208518518518527,-60.18968107255886,95,Biofrontera Inc.,2.74,0.32999992,0.13692943,1640417,47209107,443656,2.41
AES,13.393055555555566,33.109523809523836,-59.54923534205858,96,The AES Corporation,22.65,0.30999947,0.013876431,5363932,15116499966,4247700,22.34
BRLT,9.736918604651157,23.700694444444448,-58.91715904158439,97,"Brilliant Earth Group, Inc.",9.81,1.6500006,0.20220596000000002,842474,94012472,332078,8.16
DAVE,6.561458333333325,15.89962962962963,-58.73200517132946,98,Dave Inc.,7.42,0.73,0.10911809,924709,2215684489,891190,6.69
BKKT,10.21142857142856,23.755072463768112,-57.01369218299246,99,"Bakkt Holdings, Inc.",5.24,0.06,0.01158,5914312,296110986,3396836,4.96
MNST,12.823910984848496,29.338122605363992,-56.289258323217126,100,Monster Beverage Corporation,77.19,2.1100006,0.028103364000000002,2806322,40861224960,1995573,75.08
GLSI,19.999999999999996,45.633333333333326,-56.17238860482103,101,"Greenwich LifeSciences, Inc.",22.09,0.7600002,0.035630577,98980,287959509,39446,21.33
REGN,8.552131782945738,19.048739035087724,-55.10394799785574,102,"Regeneron Pharmaceuticals, Inc.",677.98,12.049988,0.018094977,806180,72351309824,763847,665.93
SRNE,8.333333333333325,18.36979166666668,-54.63566770626602,103,"Sorrento Therapeutics, Inc.",2.4,0.24000001,0.11111112000000001,9189479,813045867,8145346,2.16
NAK,7.6041666666666785,16.61977416440832,-54.2462695855928,104,Northern Dynasty Minerals Ltd.,0.3925,-0.002,-0.00507,7209983,208997969,6570334,0.3991
LMT,7.359927877749217,16.017412698412702,-54.05045735957985,105,Lockheed Martin Corporation,421.88,0.54,0.00128,5813894,112301477273,1778690,448.67
UPWK,5.000000000000004,10.840000000000005,-53.87453874538743,106,Upwork Inc.,20.86,2.4800014,0.13492936,1981239,2695437938,892597,18.38
AUR,10.000000000000009,21.547619047619037,-53.59116022099442,107,"Aurora Innovation, Inc.",4.45,0.4699998,0.1180904,1966574,2857655700,2576089,3.98
NTRB,12.5,26.66666666666666,-53.124999999999986,108,Nutriband Inc.,3.7,0.4000001,0.12121216,138953,29463316,29362,3.3
HITI,15.382183908045977,32.381722222222244,-52.4973261073501,109,High Tide Inc.,4.65,0.09999991,0.021978,112704,280616133,98388,4.55
UA,10.000000000000009,20.71923076923077,-51.735659922034486,110,"Under Armour, Inc.",15.19,0.75,0.051939099999999995,4026033,7336617984,3208698,14.44
HBAN,16.95151515151514,34.3475,-50.647018992604586,111,Huntington Bancshares Incorporated,15.43,0.46000004,0.030728123,16576365,22293727232,9501587,14.97
AY,12.75666666666666,25.81,-50.57471264367819,112,Atlantica Sustainable Infrastructure plc,34.83,0.43,0.0125,389516,3914995550,491985,34.4
IMPP,9.094703495630462,18.223094813683048,-50.09243167191566,113,Imperial Petroleum Inc,2.04,-0.69000006,-0.25274726999999997,32671595,9860937,20703706,2.73
CLF,9.140136612021866,18.041775046936337,-49.33903904552924,114,Cleveland-Cliffs Inc.,26.18,0,0,24655866,13755226077,21472768,25.34
LTBR,2.0000000000000018,3.9088235294117757,-48.83370955605728,115,Lightbridge Corporation,8.64,-0.3199997,-0.03571425,215004,65224034,270466,8.96
INO,8.882676426426418,16.993598256203878,-47.72927844646671,116,"Inovio Pharmaceuticals, Inc.",3.3,0.15999985,0.05095536,5077289,692169535,4023996,3.14
LABD,4.083863636363638,7.811944444444441,-47.72282796675638,117,Direxion Daily S&P Biotech Bear 3X Shares,42.35,-0.1,-0.00236,3489902,62232719,2225489,49.7
ABT,10.53405172413795,19.972536231884064,-47.25731573678941,118,Abbott Laboratories,119.48,2,0.017024174,4409731,210700599296,5041193,117.48
HUSA,7.090904790660235,13.384566369804919,-47.02178169434722,119,Houston American Energy Corp.,5.3,-0.2,-0.03636,4950851,54605859,6505793,5.75
SDC,9.542619047619038,17.885294117647078,-46.645445219692995,120,"SmileDirectClub, Inc.",2.47,0.28999996,0.1330275,5374609,295467091,4078527,2.18
XOP,3.597791327913269,6.735945463812443,-46.588176118086125,121,SPDR S&P Oil & Gas Exploration & Production ETF,119.14,0,0,14569750,5641279000,11172650,118.87
SCS,25.625000000000007,47.635000000000005,-46.2055211504146,122,Steelcase Inc.,12.07,0.4699993,0.04051718,829909,1343668608,465783,11.6
BHIL,6.4271428571428535,11.735539215686263,-45.233510458965206,123,"Benson Hill, Inc.",5.11,0.72,0.164009,622347,909880146,377356,4.39
NKE,9.34130796150483,17.003474549968956,-45.06235808420765,124,"NIKE, Inc.",125.4,0.21,0.00168,11095932,196527019703,10431259,119.4
VTNR,11.360606060606049,20.674574829931956,-45.050352164154084,125,"Vertex Energy, Inc.",7.96,-0.1800003,-0.022113059,2604239,505037961,4261154,8.14
APPH,11.47320436507937,20.79887694900968,-44.83738524341019,126,"AppHarvest, Inc.",5.55,0.3300004,0.063218465,3663537,558136319,1709669,5.22
STZ,13.120624999999997,23.562499999999996,-44.315649867374006,127,"Constellation Brands, Inc.",222.34,0.209991,0.000945354,775893,41577865040,781020,222.13
K,8.798809523809513,15.73270382395382,-44.073125495358966,128,Kellogg Company,60.96,-0.360001,-0.0058708499999999995,2394178,20691957760,2824898,61.32
ALPP,14.372659232469353,25.682424479166666,-44.03698434262577,129,"Alpine 4 Holdings, Inc.",1.36,0.09000003,0.070866165,2837377,220548778,1486422,1.27
BMBL,6.343181818181809,11.118906926406936,-42.951390274551,130,Bumble Inc.,25.56,2.83,0.12450506,5162260,4718375936,4918563,22.73
WAVE,10.800900900900889,18.876595744680856,-42.78152137710306,131,Eco Wave Power Global AB - ADR,4.67,0.03999996,0.0086393005,89754,25693518,112190,4.63
RELI,14.676041666666674,25.554814814814808,-42.57034624192001,132,"Reliance Global Group, Inc.",5.36,-0.13999987,-0.02545452,257057,59162989,104040,5.5
ABB,7.725000000000004,13.31309523809523,-41.97442546722697,133,ABB Ltd,34.69,0,0,3474809,71223713278,2506123,33.31
AEI,9.386362252663627,15.999094397140755,-41.33191529677398,134,Alset EHome International Inc,0.42,-0.00150001,-0.0035587436,6107484,19322024,11870760,0.4215
DRCT,4.303391812865498,7.240537634408595,-40.56530011784135,135,Direct Digital Holdings Inc Class A,2.19,-0.5,-0.1858736,1098086,6200394,1845431,2.69
OCGN,7.7739992063492025,12.948130749657484,-39.96045176980586,136,"Ocugen, Inc.",2.87,0.15999985,0.05904053,12214782,571533644,13785657,2.71
MU,9.147381680500954,15.154806188175751,-39.640391523858455,137,"Micron Technology, Inc.",79.67,6.5599976,0.08972777000000001,35465031,89212870656,22850964,73.11
PTON,6.850379939209739,11.348838721664812,-39.638053661539516,138,"Peloton Interactive, Inc.",23.31,0.69999886,0.030959702,9568117,7050720038,13301717,22.61
WERN,30.000000000000004,49.56666666666667,-39.4754539340955,139,"Werner Enterprises, Inc.",44.19,1.6099968,0.0378111,564948,2907838976,1093423,42.58
