ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
UPWK,8.101851851851837,-4.6875,163,Upwork Inc.,19.67,-0.79999924,-0.039081547,1578746,2539087031,2169482,20.47
DRCT,8.126018518518507,11.32492388096724,164,Direct Digital Holdings Inc Class A,2.39,-0.09999991,-0.040160603999999996,8353792,6692000,105778908,2.49
G,8.150572916666675,13.89561224489797,165,Genpact Limited,41.48,-0.10000229,-0.0024050574,523416,7681059328,667355,41.58
FR,8.166666666666655,11.111111111111116,166,"First Industrial Realty Trust, Inc.",58.57,0.25999832,0.0044588977000000005,488319,7718413312,845967,58.31
BB,8.261520553520562,11.086433309642274,167,BlackBerry Limited,6.51,-0.22999954,-0.03412456,10782468,3741701766,5228388,6.74
GILD,8.275487701441886,14.673203703703708,168,"Gilead Sciences, Inc.",57.92,-1.0800018,-0.018305116,13241658,72625307648,13681985,59
PROG,8.50282297178131,-14.298865164096487,169,"Progenity, Inc.",1.26,-0.00999999,-0.0078740084,3588216,206324441,5758162,1.27
UBER,8.53130376832667,11.25280277465317,170,"Uber Technologies, Inc.",30.41,-1.0900002,-0.034603179000000005,30540454,56590152768,33734505,31.5
NVDA,8.54572631233179,8.886702194211015,171,NVIDIA Corporation,226.58,-3.5599976,-0.015468835,42806565,564637335552,49274195,230.14
PTRA,8.571428571428562,20.135000000000012,172,Proterra Inc.,7.18,-0.28999996,-0.03882195,2771186,1565261039,3482959,7.47
SPOT,8.575284900284895,13.57389409315639,173,Spotify Technology S.A.,132.67,-3.75,-0.027488636999999996,1935708,24013270000,1521947,136.42
TNP,8.599999999999985,20.900000000000006,174,Tsakos Energy Navigation Limited,8.7,-0.5,-0.05434783000000001,244952,158303547,463491,9.2
CENN,8.676386465527685,14.077815591610609,175,Cenntro Electric Group Limited,1.31,-0.04000008,-0.029629688,5448530,1183072477,6746765,1.35
POST,8.684374999999989,13.00000000000001,176,"Post Holdings, Inc.",68.39,-32.120003,-0.31957021999999996,494766,4230577920,633351,100.51
BBIG,8.80509232644544,4.16580531480375,177,"Vinco Ventures, Inc.",2.24,-0.05999994,-0.026086931,11696238,307066679,15890187,2.3
FORD,8.914583333333326,21.150000000000002,178,"Forward Industries, Inc.",1.64,0.09000003,0.058064537,23347,16600955,64171,1.55
SPCE,8.93112698412699,10.14150760855308,179,"Virgin Galactic Holdings, Inc.",7.57,-0.25,-0.03196931,9608831,1955251159,11470460,7.82
SNAX,8.958333333333336,15.72916666666666,180,"Stryve Foods, Inc.",2.72,0.10000014,0.038167994,526068,23247014,406572,2.62
APLE,8.983333333333343,9.101041666666676,181,"Apple Hospitality REIT, Inc.",17.99,0.29999924,0.016958690000000002,1277388,4106325504,1548635,17.69
