ticker,posts,lastPosts,likes,lastLikes,impressions,lastImpressions,rank,retweets,lastRetweets,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
NFLX,749,647,19950,64401,10798785,2804953,48,3323,4806,"Netflix, Inc.",356.4,14.64,0.04284,1102541,157455740851,6428655,341.76
RIVN,600,528,19373,10548,3510375,3855059,49,4094,1438,"Rivian Automotive, Inc.",45,2.79,0.0661,3776768,40162156110,25165008,42.21
H,314,265,18765,13783,467159,778109,50,6796,3936,Hyatt Hotels Corporation,88.665,4.055,0.04793,106196,4462888138,1393090,84.61
STZ,112,52,18736,5392,67237,75399,51,41513,11965,"Constellation Brands, Inc.",217.7,3.06,0.01426,54247,40849380608,1277293,214.64
MSTR,249,92,18241,42893,3455458,1051292,52,2308,7379,MicroStrategy Incorporated,451.41,41.05,0.10003,124683,4183464294,443191,410.36
MU,225,342,17505,36123,749309,2080980,53,1834,4084,"Micron Technology, Inc.",79.21,2.05,0.02657,4233797,88697544883,28343183,77.16
ILUS,354,444,16793,24627,1005792,910746,54,2953,5217,Ilustrato Pictures Internationl Inc,0.1281,0,0,0,156448193,22171590,0.1281
HMBL,501,829,16635,53384,599878,776497,55,2081,8900,HUMBL Inc,0.1167,0,0,0,138529310,29003985,0.1167
OXY,730,844,15579,10400,7143787,7354812,56,4760,2098,Occidental Petroleum Corporation,53.865,-0.605,-0.01111,11895575,50313356767,81141767,54.47
TWTR,489,375,15049,3388,4031947,2109668,57,7875,698,"Twitter, Inc.",34.285,1.605,0.04911,2218150,27449982376,17410612,32.68
IWM,1051,1105,12939,66958,3943336,6495613,58,2469,17896,iShares Russell 2000 ETF,199.64,4.85,0.0249,7771926,59372936000,45715788,194.79
LCID,761,647,12711,10555,2131888,3090093,59,1676,1997,"Lucid Group, Inc.",25.165,0.925,0.03816,4611281,41604212631,33349553,24.24
BABA,796,692,12080,10126,2978650,3505749,60,1919,1809,Alibaba Group Holding Limited,99.75,2.25,0.02308,4619464,270413636588,23275463,97.5
NINE,840,195,12034,470,6863620,1538449,61,2041,198,"Nine Energy Service, Inc.",4.39,-1.27,-0.22438,4908487,144119086,82068088,5.66
PEP,355,85,11587,186,4348560,244360,62,2858,52,"PepsiCo, Inc.",158.23,0.36,0.00228,621352,218777175171,6163724,157.87
EEENF,673,452,11559,6407,1313570,693240,63,1710,975,88 Energy Limited,0.0319,0,0,0,506738116,120793327,0.0319
CAR,207,78,11326,6464,1271143,546881,64,1381,1246,"Avis Budget Group, Inc.",190.645,15.215,0.08673,130463,10250501987,1080930,175.43
HUSA,1072,1166,10883,5973,7662585,7323464,65,1206,1407,Houston American Energy Corp.,6.39,-0.56,-0.08058,9504987,63442080,62751329,6.95
ALPP,433,473,10616,11558,455191,915527,66,2672,3482,"Alpine 4 Holdings, Inc.",1.63,-0.08,-0.04678,162159,243398928,921821,1.71
ES,1176,962,9865,8572,4670165,4320949,67,1175,1142,Eversource Energy,84.78,-0.31,-0.00364,99028,29201615146,2296318,85.09
DIS,466,662,9459,39433,3069237,3283966,68,1753,9140,The Walt Disney Company,134.965,3.215,0.0244,1685428,245721787911,16552011,131.75
BB,371,401,9265,4492,1988762,2149187,69,3523,725,BlackBerry Limited,6.685,0.325,0.0511,959045,3842285147,5713205,6.36
DASH,735,550,9042,2955,7973578,5063551,70,1586,856,"DoorDash, Inc.",90.535,5.525,0.06499,705164,28759348100,6802084,85.01
ATVI,212,65,8146,755,3203737,234851,71,1378,194,"Activision Blizzard, Inc.",81.295,0.265,0.00327,1342228,63347900220,7519801,81.03
OCGN,893,572,8110,1182,1301804,563549,72,1641,325,"Ocugen, Inc.",2.57,0.13,0.05328,2124511,512684630,19148543,2.44
PROG,186,311,8046,16436,406545,274700,73,808,2979,"Progenity, Inc.",1.23,0.02,0.01653,1060416,201411954,9294888,1.21
F,673,689,8043,19180,5258353,3043648,74,1445,3152,Ford Motor Company,16.505,0.475,0.02963,13512281,64920692331,101020299,16.03
MMAT,363,414,7587,10351,768781,1558652,75,1137,1859,Meta Materials Inc.,1.615,0.025,0.01572,817619,459972667,9080268,1.59
BITF,88,45,7534,7209,475663,112791,76,1408,1378,Bitfarms Ltd.,3.65,0.31,0.09281,1536212,727075229,5648551,3.34
EBAY,119,89,7476,2979,151163,257406,77,576,472,eBay Inc.,53.06,-0.03,-0.00057,1064840,31174284230,9548989,53.09
SQ,434,588,7157,17358,9231393,1855961,78,1048,2125,"Block, Inc.",108.65,8.03,0.07981,4943656,46176250000,25280923,100.62
SPI,117,247,7056,1908,1217102,3131952,79,2351,257,"SPI Energy Co., Ltd.",3.54,-0.32,-0.0829,136957,84475247,4638711,3.86
ROKU,354,406,6854,8677,2109979,2590039,80,935,1319,"Roku, Inc.",119.83,6.37,0.05614,784482,15210150358,6965920,113.46
PG,178,149,6784,8204,1562465,1741858,81,1473,1864,The Procter & Gamble Company,149.37,2.58,0.01758,1092111,361467605724,9517238,146.79
PHUN,225,251,6538,1807,455023,712070,82,1024,507,"Phunware, Inc.",2.48,0.13,0.05532,1134229,240138125,7606340,2.35
DWAC,646,804,6043,2520,2860492,1992418,83,919,585,Digital World Acquisition Corp.,76.5,1.37,0.01824,667862,2297083401,5085424,75.13
CLOV,729,586,5969,4109,1947676,2676080,84,1121,750,"Clover Health Investments, Corp.",3.17,0.18,0.0602,9058955,1396901330,43854592,2.99
RIOT,245,196,5801,1830,1165540,623408,85,783,191,"Riot Blockchain, Inc.",16.865,1.765,0.11689,3006716,1966179041,6857951,15.1
S,208,224,5753,4299,370212,526168,86,1295,1093,"SentinelOne, Inc.",32.47,0.18,0.00557,788753,1353303103,5336585,32.29
JPM,372,472,5644,9254,8288063,3494810,87,1588,3071,JPMorgan Chase & Co.,133.76,5.46,0.04256,3067767,394967727827,19207816,128.3
USO,696,663,5640,7187,6952055,10098354,88,1051,1345,"United States Oil Fund, LP",79.81,-5.62,-0.06578,3871388,3290055755,29882732,85.43
CENN,428,1216,5585,8083,642172,2716297,89,949,2221,Cenntro Electric Group Limited,1.37,0.01,0.00735,1923126,1241999459,14703573,1.36
CORN,131,150,5250,7723,976201,1197893,90,3671,6206,Teucrium Corn Fund,25.89,-0.38,-0.01447,34301,206219605,868836,26.27
IMPP,1276,2031,4973,12981,6638458,13053845,91,1223,3348,Imperial Petroleum Inc,5.47,1.22,0.28706,26172162,26120738,103864365,4.25
MO,147,189,4841,17612,550207,1204266,92,817,2928,"Altria Group, Inc.",51.2,0.31,0.00609,1237788,93043574886,14529573,50.89
ABBV,147,106,4747,258,2402523,686784,93,1055,95,AbbVie Inc.,148.24,1.09,0.00741,763909,262200067611,8817502,147.15
ATER,184,102,4709,1500,1479726,559122,94,815,212,"Aterian, Inc.",2.6,0.19,0.07884,920320,139174768,3482140,2.41
WAVE,166,205,4575,54967,1152182,194566,95,4393,59725,Eco Wave Power Global AB - ADR,5.59,-0.31,-0.05254,64205,31020900,1241313,5.9
USEG,676,263,4214,703,4813239,2060884,96,571,116,U.S. Energy Corp.,6.42,-0.94,-0.12772,1848488,30021852,43506274,7.36
WOW,122,98,4169,322,196051,220026,97,1606,97,"WideOpenWest, Inc.",17.18,0.45,0.0269,5776,1501407325,326826,16.73
ANY,115,120,4139,384,760799,355817,98,668,144,Sphere 3D Corp.,2.07,0.15,0.07812,1543506,74953193,3274095,1.92
PTON,389,328,4048,5680,2280969,5586367,99,721,746,"Peloton Interactive, Inc.",23.18,0.63,0.02794,1161323,7023450386,10392014,22.55
INTC,317,330,4047,1558,2224701,2323341,100,595,481,Intel Corporation,47.485,-0.015,-0.00032,5631328,193358920000,44813947,47.5
BA,571,785,3925,4575,3974754,3357040,101,585,1056,The Boeing Company,182.46,8.66,0.04983,2013414,106374137122,13715459,173.8
ENPH,375,143,3913,920,4008900,802502,102,711,187,"Enphase Energy, Inc.",176.15,0.16,0.00091,919534,23592751360,6829983,175.99
AMPL,67,51,3752,642,254195,366064,103,1249,151,"Amplitude, Inc.",19.62,0.93,0.04976,24661,1153698497,883651,18.69
LABU,61,28,3746,98,534838,121573,104,464,18,Direxion Daily S&P Biotech Bull 3X Shares,15,1.42,0.10457,4385702,867174000,27088792,13.58
AAL,493,579,3531,5316,9025103,2943470,105,853,1159,American Airlines Group Inc.,14.475,0.965,0.07143,21606172,9396592694,88067102,13.51
ZIM,165,0,3294,0,4270412,0,106,391,0,ZIM Integrated Shipping Services Ltd.,75.08,4.39,0.0621,3361705,8634200000,4392810,70.69
OPEN,142,178,3267,6902,665563,1212709,107,408,1925,Opendoor Technologies Inc.,7.275,0.485,0.07143,2159700,4511458074,17178972,6.79
C,234,336,3240,3938,4505047,2368699,108,831,1141,Citigroup Inc.,57.05,2.18,0.03973,5244290,113010037672,43858113,54.87
PPGH,48,42,2927,2012,78657,242325,109,686,470,Poema Global Holdings Corp.,9.92,0,0,17674,342240000,48330,9.92
DNN,154,164,2884,7619,464941,329993,110,329,793,Denison Mines Corp.,1.59,-0.03,-0.01852,2821375,1295200391,18016960,1.62
MARPS,582,1221,2848,22144,4418805,9799504,111,623,3169,Marine Petroleum Trust,13.51,-1.98,-0.12782,663995,27020000,8302813,15.49
SNAP,411,450,2839,4256,1481813,2189839,112,448,611,Snap Inc.,33.38,2.16,0.06919,4735654,49735755645,28109575,31.22
XLE,525,556,2603,5670,4368848,3898799,113,679,963,Energy Select Sector SPDR Fund,75.825,-1.715,-0.02212,14490643,38789795250,98027181,77.54
AGQ,47,17,2469,702,474276,493159,114,281,76,ProShares Ultra Silver,43.5,-1.75,-0.03867,492926,619724055,3847472,45.25
FCX,114,182,2318,1174,1266088,1927399,115,167,184,Freeport-McMoRan Inc.,46.82,0.15,0.00321,3889237,68112848995,23946895,46.67
GPS,64,30,2300,22,710635,414087,116,673,4,"The Gap, Inc.",14.42,-0.04,-0.00277,1727455,5384474778,13817266,14.46
UBER,409,454,2082,11078,5659969,4438831,117,510,1914,"Uber Technologies, Inc.",31.8,1.06,0.03448,5852265,59176812167,55014737,30.74
NAK,279,332,2081,1625,1658498,1618449,118,564,295,Northern Dynasty Minerals Ltd.,0.4299,-0.0201,-0.04467,2960953,227752159,56778063,0.45
MQ,163,73,2033,794,645302,411633,119,218,78,"Marqeta, Inc.",10.32,0.59,0.06064,1709471,2399330670,7820156,9.73
TSM,194,341,1943,6169,1473348,2420145,120,350,762,Taiwan Semiconductor Manufacturing Company Limited,104.27,4.27,0.0427,3760741,540752154113,25649964,100
EMB,40,28,1908,585,352731,306974,121,177,84,iShares J.P. Morgan USD Emerging Markets Bond ETF,95.375,0.685,0.00723,1301640,16156525000,10283043,94.69
AFRM,158,139,1905,1244,947438,436567,122,225,162,"Affirm Holdings, Inc.",35.54,1.26,0.03676,839291,7952639055,8646536,34.28
REAL,33,135,1845,18985,61968,157081,123,1330,12993,"The RealReal, Inc.",6.69,0.17,0.02607,136506,622540546,3678259,6.52
RAD,108,92,1843,2773,508435,208125,124,326,558,Rite Aid Corporation,9.51,0.25,0.027,630980,530488475,2303448,9.26
BLI,32,18,1840,176,59654,82812,125,528,102,"Berkeley Lights, Inc.",6.38,0.45,0.07589,125662,431614586,1706863,5.93
FUBO,261,214,1808,186,1498720,740648,126,301,20,fuboTV Inc.,7.52,0.41,0.05767,1427246,1158930670,13843147,7.11
GS,189,229,1780,4226,616846,1555314,127,355,1008,"The Goldman Sachs Group, Inc.",333.18,11.81,0.03675,460464,111546325076,3596440,321.37
MRNA,389,541,1745,4339,2018264,4835827,128,630,1983,"Moderna, Inc.",135.46,6.18,0.0478,879445,54573174684,6675723,129.28
JETS,59,158,1732,7672,102850,1137380,129,282,1913,U.S. Global Jets ETF,18.91,1.2,0.06776,3474248,3371653000,21700469,17.71
DOCU,106,184,1689,4548,265884,1557802,130,356,715,"DocuSign, Inc.",98.31,6.33,0.06882,701398,19453240976,5917077,91.98
HYLN,86,88,1668,1492,472000,358143,131,528,282,Hyliion Holdings Corp.,4.13,0.14,0.03509,313351,716836365,3980804,3.99
SLB,329,304,1663,1159,2020592,2844644,132,375,289,Schlumberger Limited,43.195,-1.885,-0.04181,3781845,61035369355,41068138,45.08
JD,126,101,1621,392,570290,1055366,133,465,66,"JD.com, Inc.",61.62,2.93,0.04992,2214184,95830808786,11869439,58.69
RIG,347,643,1607,2396,2973166,5220458,134,263,509,Transocean Ltd.,4.92,-0.1,-0.01992,11609357,3229377334,115637510,5.02
LAC,182,144,1606,2639,1023210,2145079,135,252,664,Lithium Americas Corp.,26.75,0.69,0.02648,2000311,3585773166,5112354,26.06
HITI,104,55,1553,732,670088,612861,136,405,267,High Tide Inc.,4.26,0.17,0.04156,19608,258191085,169847,4.09
CNQ,116,75,1553,831,339494,328287,137,242,121,Canadian Natural Resources Limited,58.67,-1.04,-0.01742,621818,68488095655,5911941,59.71
A,99,81,1548,235,827123,501701,138,339,34,"Agilent Technologies, Inc.",132.17,2.85,0.02204,209732,39699388759,2375483,129.32
NKE,199,230,1539,4366,1568547,1674428,139,491,981,"NIKE, Inc.",129.04,7.83,0.0646,2257968,202570865265,9089353,121.21
Z,51,55,1537,1392,176681,251470,140,366,277,"Zillow Group, Inc.",49.95,2.3,0.04827,432556,12160202875,5412104,47.65
NET,121,220,1500,8854,971859,1014242,141,535,1711,"Cloudflare, Inc.",96.36,4.21,0.04569,842618,29611428000,5272545,92.15
NKLA,260,156,1483,1136,2224705,1465983,142,453,436,Nikola Corporation,7.7,0.15,0.01987,2750454,3113708175,22609273,7.55
SPOT,214,106,1414,2630,1537706,469096,143,230,431,Spotify Technology S.A.,138.08,6.4,0.0486,263910,24992480000,1858568,131.68
CFVI,105,138,1411,825,817396,395440,144,245,113,CF Acquisition Corp. VI,11.68,0.17,0.01477,173188,358576000,2241368,11.51
DADA,86,36,1394,349,1652265,361647,145,516,158,Dada Nexus Limited,7.69,1.25,0.1941,957730,1798937903,2040650,6.44
ISPO,137,98,1353,187,1850845,902393,146,94,62,Inspirato Incorporated,15.29,0.04,0.00262,175758,263752500,1370536,15.25
BCE,15,41,1332,2668,56882,186737,147,252,506,BCE Inc.,53.94,0.29,0.00541,53279,49034429073,2716317,53.65
AQST,51,15,1324,26,851284,122973,148,470,5,"Aquestive Therapeutics, Inc.",2.7,-0.12,-0.04255,71428,108442876,391143,2.82
ACA,78,113,1310,3677,315304,512197,149,193,805,"Arcosa, Inc.",56.95,0.78,0.01389,2516,2751399950,459502,56.17
SAVA,89,101,1295,1080,413643,165704,150,148,352,"Cassava Sciences, Inc.",38.7,3.15,0.08861,308292,1548649850,1488815,35.55
PETZ,286,86,1207,594,1949585,576305,151,359,157,"TDH Holdings, Inc.",0.3902,0.0771,0.24625,25558147,49266713,10257743,0.3131
RNG,11,9,1141,1142,22012,42357,152,255,255,"RingCentral, Inc.",115.58,4.13,0.03706,50242,9762689041,984889,111.45
FCEL,449,392,1101,987,1893499,1326488,153,239,245,"FuelCell Energy, Inc.",6.11,-0.2,-0.0317,6676129,2240457393,42069415,6.31
TLRY,281,268,1054,1371,1283719,1308124,154,207,300,"Tilray Brands, Inc.",5.505,0.205,0.03868,3732172,2646387112,24246696,5.3
CMMB,51,11,1032,215,1110629,269559,155,346,22,Chemomab Therapeutics Ltd.,4.1,0.47,0.12948,33778,46758507,74462,3.63
PCOR,30,10,1015,66,77428,106594,156,337,12,"Procore Technologies, Inc.",59.32,2.83,0.0501,54121,7831309302,951955,56.49
T,208,269,982,8558,1156038,1583883,157,206,1449,AT&T Inc.,23.4,0.4,0.01739,6352587,167143690139,50813466,23
WISH,390,373,940,870,1157564,1131575,158,164,143,ContextLogic Inc.,2.1,0.07,0.03448,2225986,1211700000,20893121,2.03
XPO,133,0,925,0,3661052,0,159,241,0,"XPO Logistics, Inc.",71.78,9.85,0.15905,1299118,8239855681,2316620,61.93
CLF,185,271,897,2274,668221,2797519,160,161,346,Cleveland-Cliffs Inc.,23.745,0.065,0.00274,5216540,12475853445,37387417,23.68
IMMX,16,45,895,86,19128,75032,161,79,28,"Immix Biopharma, Inc.",1.89,0,0,37664,13608000,231934,1.89
KSCP,16,36,860,464,53402,401569,162,77,209,Knightscope Inc - Class A,5.42,0,0,70948,62638935,501092,5.42
M,173,262,833,803,226474,894599,163,128,227,"Macy's, Inc.",24.23,1.07,0.0462,2207743,7251297950,15249304,23.16
DAL,365,416,815,1443,6667846,3668166,164,204,350,"Delta Air Lines, Inc.",33.485,2.265,0.07255,5768332,21428048014,29492071,31.22
