ticker,posts,lastPosts,postsChange,likes,lastLikes,impressions,lastImpressions,rank,retweets,lastRetweets,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
CMMB,51,11,363.6363636363637,1032,215,1110629,269559,15,346,22,Chemomab Therapeutics Ltd.,4.1,0.47,0.12948,32949,46758507,74462,3.63
CRM,1197,265,351.6981132075472,557152,67969,1044210,641463,16,544062,68580,"salesforce.com, inc.",202.75,10.67,0.05555,1235414,199708750000,8229049,192.08
HOTH,18,4,350,429,140,39546,149898,17,230,25,"Hoth Therapeutics, Inc.",0.559,0.0039,0.00703,29503,13401566,345242,0.5551
NINE,840,195,330.7692307692308,12034,470,6863620,1538449,18,2041,198,"Nine Energy Service, Inc.",4.39,-1.27,-0.22438,4908487,144119086,82068088,5.66
PEP,355,85,317.64705882352945,11587,186,4348560,244360,19,2858,52,"PepsiCo, Inc.",157.35,-0.52,-0.00329,595651,217560440581,6163724,157.87
LOVE,399,97,311.34020618556696,79006,2450,183878,279587,20,54715,1621,The Lovesac Company,40.52,2.33,0.06101,9010,612787364,319751,38.19
D-UN.TO,4,0,300,16,0,3913,0,21,6,0,Dream Office Real Estate Investment Trust,27.97,0.36999893,0.013405758,10827,1351194368,103573,27.6
SCS,4,1,300,0,0,29805,5303,22,0,0,Steelcase Inc.,12.16,0.39,0.03314,63024,1058184249,800404,11.77
DAVE,27,7,285.7142857142857,89,60,276400,120745,23,8,11,Dave Inc.,4.71,0.35,0.08028,25274,1404559077,1197436,4.36
DAC,112,31,261.2903225806451,340,742,210920,273671,24,49,133,Danaos Corporation,92.33,2.18,0.02418,154595,1912776420,392040,90.15
AAT,7,2,250,0,0,98004,16124,25,0,0,"American Assets Trust, Inc.",37.1,0.45,0.01228,13501,2245434130,297134,36.65
NRXP,34,10,240,255,461,103040,66765,26,36,51,"NRx Pharmaceuticals, Inc.",2.77,0.16,0.0613,133833,162904636,701858,2.61
AQST,51,15,240,1324,26,851284,122973,27,470,5,"Aquestive Therapeutics, Inc.",2.7,-0.12,-0.04255,70618,108442876,391143,2.82
PETZ,286,86,232.55813953488374,1207,594,1949585,576305,28,359,157,"TDH Holdings, Inc.",0.3902,0.0771,0.24625,24676507,49266713,10257743,0.3131
ATVI,212,65,226.15384615384616,8146,755,3203737,234851,29,1378,194,"Activision Blizzard, Inc.",81.25,0.22,0.00272,1270221,63312834650,7519801,81.03
GEVO,580,189,206.8783068783069,691,203,1940787,552343,30,213,50,"Gevo, Inc.",4.15,-0.38,-0.08389,3742563,838252947,27311515,4.53
SPWR,261,86,203.48837209302326,653,2692,2330948,350641,31,108,370,SunPower Corporation,20.38,-0.28,-0.01355,1510061,3528103346,16496960,20.66
PCOR,30,10,200,1015,66,77428,106594,32,337,12,"Procore Technologies, Inc.",58.9,2.41,0.04266,52594,7775861731,951955,56.49
SMSI,3,1,200,1,0,22476,204,33,1,0,"Smith Micro Software, Inc.",3.92,0.09000015,0.023498735000000003,6126,208985294,281636,3.83
LKNCY,6,2,200,2,0,200088,1220,34,1,0,Luckin Coffee Inc.,10.5,0,0,0,2468020076,2460696,10.5
ELOX,3,1,200,1,0,18305,1496,35,0,0,"Eloxx Pharmaceuticals, Inc.",0.4101,0.00390002,0.009601234,7031,35363470,152098,0.4062
SY,9,3,200,1,0,9647,19438,36,0,0,So-Young International Inc.,1.76,0.09000003,0.053892236,26824,184546560,532740,1.67
RETA,12,4,200,1,1,230807,76955,37,1,1,"Reata Pharmaceuticals, Inc.",31.21,0.31,0.01003,8535,982636551,356777,30.9
ROSE,3854,1349,185.6931060044477,6269597,459862,9857361,2298840,38,5867340,413535,Rose Hill Acquisition Corporation,10.22,0.26000023,0.026104440000000003,1,124625000,99654,9.96
ENVX,25,9,177.77777777777777,126,26,218206,15092,39,16,8,Enovix Corporation,14.89,0.33,0.02266,60865,2162707401,2092953,14.56
AGQ,47,17,176.47058823529412,2469,702,474276,493159,40,281,76,ProShares Ultra Silver,43.5,-1.75,-0.03867,492926,619724055,3847472,45.25
MSTR,249,92,170.65217391304347,18241,42893,3455458,1051292,41,2308,7379,MicroStrategy Incorporated,449.295,38.935,0.09488,120335,4163863428,443191,410.36
CSIQ,104,39,166.66666666666666,134,337,398894,222211,42,41,38,Canadian Solar Inc.,36.19,-0.21,-0.00577,419727,2171314700,3078697,36.4
CPIX,16,6,166.66666666666666,1,9,279240,88385,43,0,2,Cumberland Pharmaceuticals Inc.,2.73,0,0,5340,40430284,67647,2.73
SLF,8,3,166.66666666666666,200,199,189209,884,44,206,204,Sun Life Financial Inc.,52.61,1.29,0.02514,34456,30831921938,1393328,51.32
CAR,207,78,165.3846153846154,11326,6464,1271143,546881,45,1381,1246,"Avis Budget Group, Inc.",191.56,16.13,0.09195,119338,10299699235,1080930,175.43
ENPH,375,143,162.23776223776224,3913,920,4008900,802502,46,711,187,"Enphase Energy, Inc.",175.67,-0.32,-0.00182,890657,23528462285,6829983,175.99
CLNE,67,26,157.6923076923077,446,155,299381,78426,47,465,89,Clean Energy Fuels Corp.,8.11,0.08,0.00996,858728,1804504520,7447518,8.03
USEG,676,263,157.0342205323194,4214,703,4813239,2060884,48,571,116,U.S. Energy Corp.,6.39,-0.97,-0.13179,1736427,29881563,43506274,7.36
NICE,10,4,150,0,8,102707,832,49,0,2,NICE Ltd.,216.68,5.63,0.02668,52049,13677153836,480438,211.05
AGS,5,2,150,0,0,46720,30590,50,0,0,"PlayAGS, Inc.",7.65,0.26,0.03518,10200,282504578,243366,7.39
SNGX,5,2,150,0,0,74237,24921,51,0,0,"Soligenix, Inc.",0.6912,0,0,40088,27719719,177281,0.6912
KO,571,235,142.9787234042553,60074,9353,5720759,1278211,52,12521,2084,The Coca-Cola Company,59,0.34,0.0058,6237286,255792925172,30242133,58.66
DADA,86,36,138.88888888888889,1394,349,1652265,361647,53,516,158,Dada Nexus Limited,7.62,1.18,0.18323,854751,1782562655,2040650,6.44
CSU.TO,14,6,133.33333333333334,548,170,31974,51095,54,55,8,Constellation Software Inc.,2125.14,72.14,0.03514,1695,45034968064,16813,2053
SOLO,637,275,131.63636363636363,87971,27868,910715,339361,55,84071,18904,Electrameccanica Vehicles Corp.,2.08,0.02,0.00971,603354,235019250,4369671,2.06
METX,91,40,127.49999999999999,647,120,328565,47940,56,129,23,Meten Holding Group Ltd.,0.1799,0.0109,0.0645,4331471,55374931,15991464,0.169
CCU,9,4,125,0,1,37207,18514,57,4,0,Compañía Cervecerías Unidas S.A.,14.44,0.42,0.02996,4405,2667810736,169077,14.02
MQ,163,73,123.28767123287672,2033,794,645302,411633,58,218,78,"Marqeta, Inc.",10.21,0.48,0.04933,1576685,2373756409,7820156,9.73
SHOP,1180,539,118.92393320964749,68397,15595,6319174,2595613,59,7417,2143,Shopify Inc.,557.25,42.3,0.08214,818552,67154754750,5242338,514.95
LABU,61,28,117.85714285714283,3746,98,534838,121573,60,464,18,Direxion Daily S&P Biotech Bull 3X Shares,14.86,1.28,0.09426,4102386,859080376,27088792,13.58
STZ,112,52,115.38461538461537,18736,5392,67237,75399,61,41513,11965,"Constellation Brands, Inc.",216.78,2.14,0.00997,50545,40676751163,1277293,214.64
GPS,64,30,113.33333333333333,2300,22,710635,414087,62,673,4,"The Gap, Inc.",14.37,-0.09,-0.00622,1589278,5365804616,13817266,14.46
SPOT,214,106,101.8867924528302,1414,2630,1537706,469096,63,230,431,Spotify Technology S.A.,137.27,5.59,0.04245,254727,24845870000,1858568,131.68
TIVC,2,0,100,10,0,16435,0,64,2,0,"Tivic Health Systems, Inc.",1.385,0.06499994,0.049242373,340,11811971,43686,1.32
AAV.TO,2,0,100,96,0,15742,0,65,22,0,Advantage Energy Ltd.,7.44,-0.25,-0.03251,124942,1419767581,336947,7.69
TSN,30,15,100,18,33,244402,77959,66,4,14,"Tyson Foods, Inc.",93.02,0.7,0.00758,230302,33871930720,2646494,92.32
LIXT,2,1,100,112,0,55,1,67,7,0,"Lixte Biotechnology Holdings, Inc.",1.22,0,0,43,16908309,61933,1.22
YCBD,2,1,100,0,0,16537,3289,68,0,0,"cbdMD, Inc.",0.8496,0.0596,0.07544,16129,50043963,668399,0.79
SF,4,2,100,15,0,39813,1316,69,0,0,Stifel Financial Corp.,65.38,3.62,0.05861,14556,6957790335,734396,61.76
INDP,4,2,100,0,1,30822,22331,70,0,0,"Indaptus Therapeutics, Inc.",3.66,0,0,11447,29988499,115517,3.66
USIO,2,1,100,0,0,16059,22094,71,0,0,"Usio, Inc.",3.17,0,0,7544,79166867,45121,3.17
MG.TO,2,0,100,135,0,6,0,72,13,0,Magna International Inc.,77.1,3.76,0.05127,143643,22901403666,497733,73.34
BYSI,6,3,100,0,2,65663,17666,73,0,0,BeyondSpring Inc.,2.035,0.045,0.02261,61167,79581679,427828,1.99
VCEL,2,1,100,0,0,22207,1496,74,0,0,Vericel Corporation,37.95,1.38,0.03774,2747,1782423494,1620046,36.57
