ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
MA,14.46994047619048,14.901847619047626,84,Mastercard Incorporated,324.59,-3.5400085,-0.010788434,3510308,319793528832,4016060,328.13
RELI,14.209467455621304,7.167916666666652,85,"Reliance Global Group, Inc.",6.25,0.5999999,0.10619468,749553,68256559,178123,5.65
ZIM,14.180674945659133,9.245389605842336,86,ZIM Integrated Shipping Services Ltd.,76.77,1.6299973,0.021692803,5900201,9104000000,10140823,75.14
PG,14.117708333333345,22.95380208333333,87,The Procter & Gamble Company,144.94,-3.8300018,-0.02574445,9036629,347431337984,7044122,148.77
JETS,14.110606060606056,3.3438271604938397,88,U.S. Global Jets ETF,18.53,-0.14999962,-0.008029958,12735202,3276104000,17499913,18.68
WISH,14.06307492665313,15.706189664181203,89,ContextLogic Inc.,2.06,-0.03999996,-0.019047601,12468476,1182850000,11841894,2.1
DCFC,13.994097222222223,9.74046666666666,90,Tritium DCFC Limited,7.65,0.22000027,0.029609728,433182,1199161541,313334,7.43
AZN,13.854166666666679,14.106944444444448,91,AstraZeneca PLC,60.9,0.47000122,0.007777614,6345255,193493925888,9256766,60.43
NOVN,13.83005679836038,7.5444444444444425,92,"Novan, Inc.",3.51,0.03999996,0.011527365000000001,67547,65294442,94621,3.47
WKHS,13.825130341880353,8.694449803782668,93,Workhorse Group Inc.,3.85,0.03999996,0.010498677000000001,4652965,599766589,6090483,3.81
AAAU,13.715476190476195,15.555555555555568,94,Goldman Sachs Physical Gold ETF,19.84,0.04999924,0.0025264898,1550366,730848000,1198978,19.79
IINN,13.636111111111116,17.984642857142852,95,Inspira Technologies Oxy B.H.N. Ltd.,2.44,0.05999994,0.025210059,64413,16801779,74354,2.38
RAD,13.62406994047618,13.239747095010234,96,Rite Aid Corporation,9.44,-0.14000034,-0.014613814000000001,1317557,526583723,2281960,9.58
ILUS,13.61651969429747,9.353223270440258,97,Ilustrato Pictures Internationl Inc,0.141,0,0,0,172202929,9576723,0.141
CLNE,13.495532879818594,9.476085434173665,98,Clean Energy Fuels Corp.,8.19,-0.01000023,-0.0012195402,3637423,1822304812,5044231,8.2
PTON,13.40865079365079,14.423924102132425,99,"Peloton Interactive, Inc.",22.61,-0.8299999,-0.03540955,8629180,6850742590,7501141,23.44
BNGO,13.360769816142938,16.862175405742818,100,"Bionano Genomics, Inc.",1.94,-0.00999999,-0.0051282,4048113,558952992,8293536,1.95
HOTH,13.262660000000004,-8.000000000000007,101,"Hoth Therapeutics, Inc.",0.7968,0.2227,0.3879115,16002763,17462791,125650,0.5741
VTNR,12.97481666867084,13.713446509556192,102,"Vertex Energy, Inc.",8.9,0.7699995,0.09471088,6230712,563262889,6363770,8.13
CMMB,12.880286458333323,12.892455197132602,103,Chemomab Therapeutics Ltd.,4.09,0.3000002,0.07915572,106429,45275921,120616,3.79
SESN,12.856171679197992,10.992725779967149,104,"Sesen Bio, Inc.",0.6737,-0.00280005,-0.0041390204,1246307,134378658,2071818,0.6765
NAK,12.839311340434211,6.58782679738561,105,Northern Dynasty Minerals Ltd.,0.4295,0.00950003,0.022619112,13593608,227540247,10359334,0.42
CRM,12.725181159420295,13.80555555555556,106,"salesforce.com, inc.",200.15,-3.0100098,-0.014815955999999998,5082492,197147738112,6881263,203.16
ENPH,12.678043394777273,13.966170658345977,107,"Enphase Energy, Inc.",178.72,-1.1499939,-0.0063934726,3117797,23937042432,4552029,179.87
RMSL,12.637085921325042,12.994702596618346,108,"REMSleep Holdings, Inc.",0.0131,0,0,4593324,18871358,7299764,0.0131
CNR.TO,12.5,0,109,Canadian National Railway Company,163.16,4.1399994,0.026034454999999998,1123803,114179366912,873326,159.02
G,12.5,13.33333333333333,110,Genpact Limited,41.48,-0.10000229,-0.0024050574,523416,7681059328,667355,41.58
HITI,12.340843537414958,14.87977005870842,111,High Tide Inc.,4.47,-0.05000019,-0.011061989000000001,66160,272130980,158756,4.52
TSM,12.29519379844961,12.056349206349193,112,Taiwan Semiconductor Manufacturing Company Limited,103.96,-0.98999786,-0.009433043,11686712,555547688960,14348370,104.95
VXRT,12.22458564440152,10.31816829919836,113,"Vaxart, Inc.",4.79,0.02999973,0.006302464599999999,1755350,601373679,3075915,4.76
PROG,12.207872997329773,10.303245536762983,114,"Progenity, Inc.",1.26,-0.00999999,-0.0078740084,3588216,206324441,5758162,1.27
APPH,12.193184663536783,4.509843749999987,115,"AppHarvest, Inc.",5.38,0.73,0.15698925,7006053,541009392,2552919,4.65
GNPX,12.142857142857144,10.050340136054414,116,"Genprex, Inc.",2.21,0.02999997,0.013761455,313054,105656940,433500,2.18
EL,12.083333333333336,30.000000000000004,117,The Estée Lauder Companies Inc.,278.93,5.57,0.02038,0,98848891707,1435909,277.68
LAC,12.038282828282831,11.621898148148158,118,Lithium Americas Corp.,28.56,0.29999924,0.010615684,4377272,3828399313,5428503,28.26
BFRI,11.930921052631582,10.496715510366815,119,Biofrontera Inc.,2.46,-0.11999989,-0.04651159,393846,41735588,1599939,2.58
BKKT,11.838274970717722,9.87690803730603,120,"Bakkt Holdings, Inc.",5.32,-0.2999997,-0.05338073299999999,4205574,304113986,8712700,5.62
ORGN,11.822752483059507,13.8229259118541,121,"Origin Materials, Inc.",6.35,0.23999977,0.039279829999999995,1398977,897267712,2284168,6.11
CSCW,11.733333333333329,12.788245614035088,122,"Color Star Technology Co., Ltd.",0.2119,-0.01190001,-0.05317251,4518957,24255265,4112221,0.2238
FCEL,11.712960639022029,8.306828237633601,123,"FuelCell Energy, Inc.",6.94,0.6199999,0.09810124,38316159,2548474448,27405852,6.32
NRXP,11.638097511574074,7.785542883904406,124,"NRx Pharmaceuticals, Inc.",3.04,-0.26,-0.07878788,629064,178489376,2578696,3.3
IBIO,11.629412349555214,14.850432361999545,125,"iBio, Inc.",0.3499,-0.01459998,-0.040054812,1772327,76263362,2495358,0.3645
CTRM,11.616123980186476,12.876310065977691,126,Castor Maritime Inc.,1.76,-0.06000006,-0.032967064000000004,1852140,166513776,78053698,1.82
CLOV,11.579496616354866,11.286578024769401,127,"Clover Health Investments, Corp.",3.12,-0.02000022,-0.006369496,13265584,1374868186,25952465,3.14
SNAX,11.564197530864195,0,128,"Stryve Foods, Inc.",2.72,0.10000014,0.038167994,526068,23247014,406572,2.62
AA,11.541287878787877,16.43261278195489,129,Alcoa Corporation,82.94,3.4200058,0.043008122,10006968,15377326080,11917672,79.52
NFLX,11.396679797877528,7.326650485436881,130,"Netflix, Inc.",356.77,-2.0200195,-0.005630088399999999,4768857,158392680448,6520186,358.79
NET,11.38958333333333,22.25401234567901,131,"Cloudflare, Inc.",97.53,-0.87000275,-0.008841491299999999,3261731,29970969000,4441567,98.4
AUY,11.264285714285705,15.195555555555561,132,Yamana Gold Inc.,5.52,0.1500001,0.02793298,22903702,5322554880,26236837,5.37
SBFM,11.240202558635403,10.224050761094317,133,Sunshine Biopharma Inc,2.98,-0.81999993,-0.21578945000000002,4081090,1544379335,65874250,3.8
GPS,11.227083333333333,5.679047619047628,134,"The Gap, Inc.",14.28,-0.10000038,-0.0069541293,10104367,5297880064,11857996,14.38
